Date,Close,High,Low,Open,Volume,headline,Polarity,Subjectivity,Sentiment,VADER_Score,VADER_Sentiment,MACD,MACD_signal,MACD_hist,RSI_14,SMA_13,SMA_49,EMA_13,EMA_49
2022-04-08,1607.2900390625,1608.1099853515625,1599.199951171875,1603.72998046875,121401200,Term Loan for Business - Hong Leong Bank,0.0,0.0,Neutral,0.0,Neutral,6.948543799914887,6.14995937614205,0.7985844237728372,58.58716181697715,1597.1553955078125,1579.9642857142858,1596.5434602318787,1579.613340118594
2022-04-11,1604.6099853515625,1613.4599609375,1603.219970703125,1607.949951171875,130839000,,0.0,0.0,Neutral,0.0,Neutral,7.032552598790744,6.326478020671789,0.7060745781189546,57.095071171456674,1597.673086313101,1581.6906115473532,1597.6958209632621,1580.6132059279125
2022-04-12,1597.1300048828125,1603.97998046875,1597.1300048828125,1603.8699951171875,171551400,,0.0,0.0,Neutral,0.0,Neutral,6.4215348101031395,6.34548937855806,0.07604543154507937,53.035318478703864,1597.5315504807693,1583.4224479830996,1597.6149900946266,1581.2738778861085
2022-04-13,1597.1800537109375,1605.1099853515625,1596.1300048828125,1599.6199951171875,170038600,,0.0,0.0,Neutral,0.0,Neutral,5.873629784627383,6.251117459771924,-0.3774876751445415,53.05936919492277,1597.060781625601,1584.8806127431442,1597.5528563255282,1581.9101249191017
2022-04-14,1595.699951171875,1602.3800048828125,1595.699951171875,1601.0999755859375,155439300,GUIDELINES ON INDUCTION OF LABOUR - Portal Rasmi Kementerian Kesihatan Malaysia,0.0,0.0,Neutral,0.0,Neutral,5.259352655743896,6.052764498966319,-0.7934118432224224,52.207887478942695,1596.887704702524,1586.3691829759248,1597.288155589292,1582.4617179692127
2022-04-15,1589.010009765625,1596.6199951171875,1589.010009765625,1596.5799560546875,88773900,,0.0,0.0,Neutral,0.0,Neutral,4.184475218590023,5.6791066428910595,-1.4946314243010361,48.425204854219025,1597.3177020733174,1587.5602030851403,1596.1055633287683,1582.7236496410692
2022-04-18,1581.1400146484375,1591.6400146484375,1581.1400146484375,1591.6400146484375,100095100,,0.0,0.0,Neutral,0.0,Neutral,2.6668425708041923,5.076653828473686,-2.409811257669494,44.35391024905298,1597.157705453726,1588.6020408163265,1593.9676278030067,1582.660304241364
2022-04-20,1593.75,1597.0699462890625,1584.8699951171875,1585.8199462890625,217355100,,0.0,0.0,Neutral,0.0,Neutral,2.45334753211273,4.551992569201495,-2.0986450370887653,51.40388294725902,1597.6492450420674,1589.4640814333545,1593.936538116863,1583.1038920717094
2022-04-21,1598.3199462890625,1599.9100341796875,1594.1300048828125,1598.3900146484375,157702500,"Rates, Tariff and Charges - HSBC Malaysia | BANKING - MIDF Malaysia",0.0,0.0,Neutral,-0.2732,Negative,2.6226750828971035,4.166129071940617,-1.5434539890435133,53.69356574119034,1597.3346228966345,1590.039999202806,1594.56273928432,1583.7125342404036
2022-04-22,1601.969970703125,1603.3199462890625,1594.719970703125,1598.0699462890625,146615600,,0.0,0.0,Neutral,0.0,Neutral,3.016621122007564,3.936227481954006,-0.9196063599464424,55.49712803382952,1597.5692326472356,1590.5110187141263,1595.6209152012923,1584.4428316989124
2022-04-25,1589.97998046875,1599.3800048828125,1589.97998046875,1599.3800048828125,178307100,The Definitive Guide for Industrial REITs in Malaysia - Industrial Malaysia,0.0,0.0,Neutral,0.0,Neutral,2.3344243975200243,3.6158668650672103,-1.281442467547186,48.77652278482768,1597.045381986178,1590.636325135523,1594.8150673823577,1584.664317649706
2022-04-26,1596.6800537109375,1602.68994140625,1592.469970703125,1599.719970703125,161400900,,0.0,0.0,Neutral,0.0,Neutral,2.307815434434815,3.3542565789407313,-1.0464411445059163,52.25591103637547,1596.4269268329326,1590.5765306122448,1595.0814940007263,1585.144947092155
2022-04-27,1585.97998046875,1593.3399658203125,1585.1700439453125,1591.6500244140625,139713500,,0.0,0.0,Neutral,0.0,Neutral,1.4071009690005667,2.9648254569526986,-1.557724487952132,46.78981736490598,1595.2876915564905,1590.2251026387116,1593.7812777818726,1585.1783484272187
2022-04-28,1597.31005859375,1600.5999755859375,1590.1700439453125,1593.6199951171875,185350000,,0.0,0.0,Neutral,0.0,Neutral,1.589201554839974,2.689700676530154,-1.1004991216901798,52.46040377018482,1594.520000751202,1590.0677564971302,1594.2853893264264,1585.66361683388
2022-04-29,1600.4300537109375,1605.02001953125,1595.780029296875,1602.02001953125,154247500,,0.0,0.0,Neutral,0.0,Neutral,1.9626508943490535,2.544290720093934,-0.5816398257448805,53.91680649736206,1594.198467548077,1590.0142872090241,1595.1631985242138,1586.2542743089623
2022-05-05,1582.97998046875,1615.1700439453125,1576.8399658203125,1614.3399658203125,226169700,The 5 key sectors in Bursa Main Market you should know - fsmone.com.my,0.0833333333333333,0.6666666666666666,Positive,0.0,Neutral,0.8408443815465034,2.203601452384448,-1.3627570708379446,45.517679770569046,1593.1100041316106,1590.020206373565,1593.4227388020047,1586.1233025553538
